Latitude (decimal degrees):	41.897
Longitude (decimal degrees):	12.485
Elevation (m):	27
Radiation database:	PVGIS-SARAH3


Slope: 37 deg. (optimum)
Azimuth: 14 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050415:2210,0.0,0.0,0.0,10.89,2.69,0.0
20050415:2310,0.0,0.0,0.0,10.54,3.24,0.0
20050416:0010,0.0,0.0,0.0,10.12,2.76,0.0
20050416:0110,0.0,0.0,0.0,9.83,2.21,0.0
20050416:0210,0.0,0.0,0.0,10.14,2.55,0.0
20050416:0310,0.0,0.0,0.0,10.29,2.34,0.0
20050416:0410,0.0,0.0,0.0,10.27,2.07,0.0
20050416:0510,1.25,8.63,6.78,9.8,1.93,0.0
20050416:0610,14.92,30.35,17.92,10.84,1.45,0.0
20050416:0710,16.21,32.19,28.97,11.49,3.52,0.0
20050416:0810,48.86,73.57,39.5,12.04,4.07,0.0
20050416:0910,41.98,65.29,48.8,12.35,4.28,0.0
20050416:1010,48.64,73.57,55.63,12.85,3.59,0.0
20050416:1110,47.15,71.73,58.24,12.59,2.76,0.0
20050416:1210,87.51,119.55,55.6,12.55,3.17,0.0
20050416:1310,554.43,670.7,48.74,12.17,3.31,0.0
20050416:1410,130.53,169.2,39.44,12.46,3.59,0.0
20050416:1510,448.69,541.03,28.91,13.02,3.59,0.0
20050416:1610,141.45,183.37,17.85,13.02,3.52,0.0
20050416:1710,91.56,150.43,6.71,12.58,3.17,0.0
20050416:1810,0.0,0.0,0.0,11.73,2.9,0.0
20050416:1910,0.0,0.0,0.0,11.1,2.97,0.0
20050416:2010,0.0,0.0,0.0,10.74,3.03,0.0
20050416:2110,0.0,0.0,0.0,10.35,3.03,0.0
20050416:2210,0.0,0.0,0.0,9.98,3.24,0.0
20050416:2310,0.0,0.0,0.0,8.83,2.83,0.0
20050417:0010,0.0,0.0,0.0,8.5,2.48,0.0
20050417:0110,0.0,0.0,0.0,8.66,2.76,0.0
20050417:0210,0.0,0.0,0.0,8.1,2.62,0.0
20050417:0310,0.0,0.0,0.0,8.44,2.41,0.0
20050417:0410,0.0,0.0,0.0,7.95,1.86,0.0
20050417:0510,0.0,2.59,7.06,7.65,1.45,0.0
20050417:0610,52.34,77.49,18.2,8.99,1.59,0.0
20050417:0710,266.95,333.43,29.26,9.72,3.86,0.0
20050417:0810,233.29,284.91,39.8,10.88,4.07,0.0
20050417:0910,84.89,115.87,49.12,11.68,4.83,0.0
20050417:1010,45.13,68.97,55.98,11.87,5.24,0.0
20050417:1110,48.22,72.65,58.59,11.72,5.59,0.0
20050417:1210,58.48,84.6,55.91,10.81,5.52,0.0
20050417:1310,54.52,80.0,49.0,10.95,4.48,0.0
20050417:1410,231.1,283.27,39.65,11.56,4.0,0.0
20050417:1510,139.79,179.1,29.1,11.57,3.59,0.0
20050417:1610,132.47,171.67,18.04,11.32,2.9,0.0
20050417:1710,9.77,22.99,6.9,10.72,2.55,0.0
20050417:1810,0.0,0.0,0.0,10.11,1.31,0.0
20050417:1910,0.0,0.0,0.0,9.24,1.31,0.0
20050417:2010,0.0,0.0,0.0,8.5,1.45,0.0
20050417:2110,0.0,0.0,0.0,8.1,1.03,0.0
20050417:2210,0.0,0.0,0.0,7.82,1.17,0.0
20050417:2310,0.0,0.0,0.0,7.19,1.72,0.0
20050418:0010,0.0,0.0,0.0,6.56,2.07,0.0
20050418:0110,0.0,0.0,0.0,5.98,2.34,0.0
20050418:0210,0.0,0.0,0.0,5.55,2.62,0.0
20050418:0310,0.0,0.0,0.0,5.19,2.48,0.0
20050418:0410,0.0,0.0,0.0,4.79,2.41,0.0
20050418:0510,0.0,0.0,0.0,4.62,2.34,0.0
20050418:0610,0.0,0.0,0.0,6.62,1.79,0.0
20050418:0710,0.0,0.0,0.0,9.2,2.76,0.0
20050418:0810,0.0,0.0,0.0,10.9,3.03,0.0
20050418:0910,0.0,0.0,0.0,12.65,3.38,0.0
20050418:1010,0.0,0.0,0.0,13.88,3.72,0.0
20050418:1110,0.0,0.0,0.0,14.65,3.66,0.0
20050418:1210,0.0,0.0,0.0,15.16,4.0,0.0
20050418:1310,600.84,732.51,49.25,15.12,4.62,0.0
20050418:1410,188.3,237.41,39.87,14.71,4.62,0.0
20050418:1510,325.3,395.65,29.29,14.32,4.21,0.0
20050418:1610,134.56,175.59,18.22,13.7,3.86,0.0
20050418:1710,67.94,107.9,7.09,13.06,3.03,0.0
20050418:1810,0.0,0.0,0.0,12.31,1.79,0.0
20050418:1910,0.0,0.0,0.0,11.89,0.34,0.0
20050418:2010,0.0,0.0,0.0,10.56,1.03,0.0
20050418:2110,0.0,0.0,0.0,9.6,1.45,0.0
20050418:2210,0.0,0.0,0.0,9.81,1.52,0.0
20050418:2310,0.0,0.0,0.0,9.76,1.79,0.0
20050419:0010,0.0,0.0,0.0,9.88,2.28,0.0
20050419:0110,0.0,0.0,0.0,10.57,2.69,0.0
20050419:0210,0.0,0.0,0.0,10.93,3.03,0.0
20050419:0310,0.0,0.0,0.0,11.01,3.31,0.0
20050419:0410,0.0,0.0,0.0,11.17,3.38,0.0
20050419:0510,3.46,12.94,7.61,11.33,3.38,0.0
20050419:0610,53.93,80.24,18.74,12.12,3.31,0.0
20050419:0710,117.69,154.82,29.81,13.03,4.21,0.0
20050419:0810,229.12,283.48,40.39,13.86,4.62,0.0
20050419:0910,411.76,497.9,49.76,14.82,5.1,0.0
20050419:1010,185.98,235.41,56.68,15.68,5.79,0.0
20050419:1110,176.27,224.38,59.29,16.05,6.14,0.0
20050419:1210,548.33,666.93,56.52,16.3,5.86,0.0
20050419:1310,176.58,225.3,49.51,16.32,5.31,0.0
20050419:1410,287.05,353.62,40.08,16.28,5.03,0.0
20050419:1510,109.03,146.21,29.48,15.83,4.97,0.0
20050419:1610,39.16,62.53,18.41,15.24,4.41,0.0
20050419:1710,36.58,60.41,7.28,14.61,4.0,0.0
20050419:1810,0.0,0.0,0.0,13.55,3.72,0.0
20050419:1910,0.0,0.0,0.0,12.72,2.9,0.0
20050419:2010,0.0,0.0,0.0,12.36,2.62,0.0
20050419:2110,0.0,0.0,0.0,11.67,2.55,0.0
20050419:2210,0.0,0.0,0.0,11.02,2.48,0.0
20050419:2310,0.0,0.0,0.0,10.3,2.34,0.0
20050420:0010,0.0,0.0,0.0,10.09,2.14,0.0
20050420:0110,0.0,0.0,0.0,9.65,1.79,0.0
20050420:0210,0.0,0.0,0.0,10.18,1.38,0.0
20050420:0310,0.0,0.0,0.0,10.05,1.45,0.0
20050420:0410,0.0,0.0,0.0,9.76,1.66,0.0
20050420:0510,8.87,21.56,7.88,9.54,2.0,0.0
20050420:0610,76.4,109.78,19.01,11.87,2.69,0.0
20050420:0710,254.79,320.06,30.08,13.14,5.66,0.0
20050420:0810,353.02,424.8,40.67,13.77,6.41,0.0
20050420:0910,338.91,408.9,50.08,14.3,7.24,0.0
20050420:1010,427.38,512.81,57.02,14.68,7.72,0.0
20050420:1110,180.07,227.14,59.63,14.9,7.93,0.0
20050420:1210,324.56,393.72,56.83,15.05,8.14,0.0
20050420:1310,609.64,728.93,49.75,14.85,8.21,0.0
20050420:1410,291.6,353.66,40.29,14.31,7.72,0.0
20050420:1510,207.86,257.59,29.67,13.96,7.24,0.0
20050420:1610,99.09,133.21,18.59,13.34,6.62,0.0
20050420:1710,15.44,31.27,7.46,12.93,6.07,0.0
20050420:1810,0.0,0.0,0.0,12.52,6.07,0.0
20050420:1910,0.0,0.0,0.0,11.93,4.41,0.0
20050420:2010,0.0,0.0,0.0,11.38,4.34,0.0
20050420:2110,0.0,0.0,0.0,10.32,3.93,0.0
20050420:2210,0.0,0.0,0.0,9.09,3.45,0.0
20050420:2310,0.0,0.0,0.0,8.89,1.66,0.0
20050421:0010,0.0,0.0,0.0,9.07,0.48,0.0
20050421:0110,0.0,0.0,0.0,8.39,0.34,0.0
20050421:0210,0.0,0.0,0.0,6.88,1.24,0.0
20050421:0310,0.0,0.0,0.0,6.55,1.66,0.0
20050421:0410,0.0,0.0,0.0,5.57,2.07,0.0
20050421:0510,9.68,22.43,8.15,5.26,2.0,0.0
20050421:0610,78.02,130.84,19.27,7.73,1.66,0.0
20050421:0710,276.58,347.81,30.35,9.52,1.59,0.0
20050421:0810,485.53,584.8,40.96,10.64,2.28,0.0
20050421:0910,664.68,804.01,50.39,12.22,3.66,0.0
20050421:1010,651.62,793.64,57.36,13.44,4.07,0.0
20050421:1110,627.74,767.27,59.97,14.29,4.21,0.0
20050421:1210,99.11,134.26,57.12,15.05,4.28,0.0
20050421:1310,331.51,405.29,50.0,15.24,4.69,0.0
20050421:1410,243.22,301.38,40.5,15.23,4.9,0.0
20050421:1510,511.0,618.66,29.86,14.91,4.76,0.0
20050421:1610,345.98,435.18,18.77,14.67,4.62,0.0
20050421:1710,101.71,171.65,7.65,13.95,4.34,0.0
20050421:1810,0.0,0.0,0.0,12.79,4.0,0.0
20050421:1910,0.0,0.0,0.0,12.07,3.38,0.0
20050421:2010,0.0,0.0,0.0,11.4,2.55,0.0
20050421:2110,0.0,0.0,0.0,10.48,2.0,0.0
20050421:2210,0.0,0.0,0.0,9.74,1.59,0.0
20050421:2310,0.0,0.0,0.0,8.95,1.38,0.0
20050422:0010,0.0,0.0,0.0,8.0,1.38,0.0
20050422:0110,0.0,0.0,0.0,7.0,1.66,0.0
20050422:0210,0.0,0.0,0.0,6.55,1.93,0.0
20050422:0310,0.0,0.0,0.0,6.29,2.14,0.0
20050422:0410,0.0,0.0,0.0,6.05,2.28,0.0
20050422:0510,9.64,22.43,8.41,6.16,2.28,0.0
20050422:0610,89.7,130.84,19.53,8.04,2.0,0.0
20050422:0710,269.76,339.21,30.62,10.22,1.66,0.0
20050422:0810,475.52,583.64,41.24,12.21,1.17,0.0
20050422:0910,629.3,791.37,50.69,13.42,0.97,0.0
20050422:1010,629.61,791.72,57.7,14.0,1.45,0.0
20050422:1110,305.16,377.85,60.31,14.43,2.0,0.0
20050422:1210,666.17,835.87,57.42,14.66,2.28,0.0
20050422:1310,675.11,844.64,50.24,14.78,2.48,0.0
20050422:1410,359.93,441.8,40.7,14.84,2.48,0.0
20050422:1510,475.92,583.91,30.04,14.85,2.62,0.0
20050422:1610,320.54,406.04,18.95,14.61,2.76,0.0
20050422:1710,98.65,166.07,7.83,13.95,2.48,0.0
20050422:1810,0.0,0.0,0.0,12.94,1.93,0.0
20050422:1910,0.0,0.0,0.0,11.6,1.52,0.0
20050422:2010,0.0,0.0,0.0,11.79,0.55,0.0
20050422:2110,0.0,0.0,0.0,11.58,0.21,0.0
20050422:2210,0.0,0.0,0.0,11.11,0.55,0.0
20050422:2310,0.0,0.0,0.0,10.78,0.76,0.0
20050423:0010,0.0,0.0,0.0,10.44,0.83,0.0
20050423:0110,0.0,0.0,0.0,9.49,1.1,0.0
20050423:0210,0.0,0.0,0.0,7.98,1.38,0.0
20050423:0310,0.0,0.0,0.0,7.3,1.45,0.0
20050423:0410,0.0,0.0,0.0,6.33,1.66,0.0
20050423:0510,9.65,22.43,8.66,5.91,1.72,0.0
20050423:0610,88.44,125.2,19.79,8.51,1.24,0.0
20050423:0710,273.21,346.49,30.88,11.39,1.45,0.0
20050423:0810,466.36,572.21,41.51,13.1,1.52,0.0
20050423:0910,608.83,757.15,50.99,14.31,1.79,0.0
20050423:1010,688.35,863.38,58.03,15.24,2.48,0.0
20050423:1110,653.04,813.61,60.64,15.77,3.17,0.0
20050423:1210,636.59,790.58,57.71,15.98,3.45,0.0
20050423:1310,693.61,863.46,50.48,15.9,3.52,0.0
20050423:1410,702.0,871.43,40.91,15.71,3.45,0.0
20050423:1510,458.53,562.9,30.23,15.35,2.76,0.0
20050423:1610,250.28,318.26,19.13,14.98,2.28,0.0
20050423:1710,56.3,88.79,8.01,14.42,1.72,0.0
20050423:1810,0.0,0.0,0.0,13.62,1.66,0.0
20050423:1910,0.0,0.0,0.0,12.44,2.07,0.0
20050423:2010,0.0,0.0,0.0,11.77,2.34,0.0
20050423:2110,0.0,0.0,0.0,11.26,2.62,0.0
20050423:2210,0.0,0.0,0.0,10.93,2.76,0.0
20050423:2310,0.0,0.0,0.0,10.6,2.69,0.0
20050424:0010,0.0,0.0,0.0,10.25,2.83,0.0
20050424:0110,0.0,0.0,0.0,9.8,3.1,0.0
20050424:0210,0.0,0.0,0.0,9.53,3.03,0.0
20050424:0310,0.0,0.0,0.0,9.17,3.1,0.0
20050424:0410,0.0,0.0,0.0,9.14,3.38,0.0
20050424:0510,13.07,27.6,8.92,9.29,3.17,0.0
20050424:0610,70.62,100.04,20.04,10.61,3.17,0.0
20050424:0710,170.05,216.11,31.13,13.01,4.0,0.0
20050424:0810,446.66,539.37,41.78,14.76,4.9,0.0
20050424:0910,431.21,523.16,51.29,15.93,5.45,0.0
20050424:1010,621.56,757.0,58.35,16.69,6.14,0.0
20050424:1110,475.19,577.85,60.97,16.52,6.14,0.0
20050424:1210,337.31,413.82,58.0,16.82,6.07,0.0
20050424:1310,591.73,719.84,50.72,16.52,6.0,0.0
20050424:1410,449.73,544.95,41.11,16.28,5.72,0.0
20050424:1510,53.19,80.0,30.41,16.11,5.72,0.0
20050424:1610,50.38,76.33,19.3,15.3,5.66,0.0
20050424:1710,30.43,51.78,8.2,14.88,5.38,0.0
20050424:1810,0.0,0.0,0.0,14.59,5.17,0.0
20050424:1910,0.0,0.0,0.0,13.68,5.31,0.0
20050424:2010,0.0,0.0,0.0,13.41,4.76,0.0
20050424:2110,0.0,0.0,0.0,13.05,4.21,0.0
20050424:2210,0.0,0.0,0.0,13.1,4.76,0.0
20050424:2310,0.0,0.0,0.0,12.79,5.79,0.0
20050425:0010,0.0,0.0,0.0,12.28,5.79,0.0
20050425:0110,0.0,0.0,0.0,11.81,5.24,0.0
20050425:0210,0.0,0.0,0.0,12.0,4.9,0.0
20050425:0310,0.0,0.0,0.0,12.06,4.76,0.0
20050425:0410,0.0,0.0,0.0,12.32,4.48,0.0
20050425:0510,12.24,26.74,9.17,12.55,4.28,0.0
20050425:0610,70.69,101.32,20.28,13.47,4.41,0.0
20050425:0710,183.59,234.57,31.38,15.54,4.62,0.0
20050425:0810,232.94,290.78,42.05,16.48,5.45,0.0
20050425:0910,194.75,246.97,51.58,17.03,5.79,0.0
20050425:1010,163.2,210.58,58.67,17.54,6.07,0.0
20050425:1110,91.14,125.98,61.3,17.43,5.79,0.0
20050425:1210,113.47,152.65,58.29,17.92,5.66,0.0
20050425:1310,71.58,102.99,50.96,18.12,5.59,0.0
20050425:1410,76.94,109.43,41.31,18.09,5.45,0.0
20050425:1510,189.82,242.11,30.59,18.0,5.17,0.0
20050425:1610,238.19,304.94,19.48,17.74,4.55,0.0
20050425:1710,90.38,152.0,8.38,17.01,4.0,0.0
20050425:1810,0.0,0.0,0.0,15.93,3.72,0.0
20050425:1910,0.0,0.0,0.0,14.15,2.41,0.0
20050425:2010,0.0,0.0,0.0,13.76,2.48,0.0
20050425:2110,0.0,0.0,0.0,13.25,2.07,0.0
20050425:2210,0.0,0.0,0.0,12.71,1.38,0.0
20050425:2310,0.0,0.0,0.0,13.5,0.48,0.0
20050426:0010,0.0,0.0,0.0,13.08,0.69,0.0
20050426:0110,0.0,0.0,0.0,11.88,1.1,0.0
20050426:0210,0.0,0.0,0.0,11.56,1.1,0.0
20050426:0310,0.0,0.0,0.0,11.29,1.1,0.0
20050426:0410,0.0,0.0,0.0,11.24,1.17,0.0
20050426:0510,8.82,21.56,9.41,10.55,1.45,0.0
20050426:0610,60.48,88.11,20.52,12.33,1.52,0.0
20050426:0710,192.38,245.36,31.63,13.53,1.17,0.0
20050426:0810,464.87,579.55,42.31,14.82,0.9,0.0
20050426:0910,624.04,795.49,51.87,16.12,0.97,0.0
20050426:1010,731.8,955.27,58.99,17.25,1.17,0.0
20050426:1110,795.11,1048.3,61.62,18.07,1.59,0.0
20050426:1210,813.81,1069.67,58.57,18.42,2.0,0.0
20050426:1310,783.97,1015.91,51.19,18.52,2.41,0.0
20050426:1410,691.14,874.28,41.5,18.27,2.9,0.0
20050426:1510,533.73,664.27,30.77,17.66,2.97,0.0
20050426:1610,324.96,416.95,19.66,16.88,2.76,0.0
20050426:1710,94.51,159.68,8.56,16.0,2.28,0.0
20050426:1810,0.0,0.0,0.0,14.93,1.52,0.0
20050426:1910,0.0,0.0,0.0,14.12,1.03,0.0
20050426:2010,0.0,0.0,0.0,13.9,0.55,0.0
20050426:2110,0.0,0.0,0.0,13.62,0.48,0.0
20050426:2210,0.0,0.0,0.0,13.07,0.9,0.0
20050426:2310,0.0,0.0,0.0,12.2,1.1,0.0
20050427:0010,0.0,0.0,0.0,11.16,1.38,0.0
20050427:0110,0.0,0.0,0.0,10.39,1.52,0.0
20050427:0210,0.0,0.0,0.0,9.8,1.59,0.0
20050427:0310,0.0,0.0,0.0,9.3,1.59,0.0
20050427:0410,0.0,0.0,0.0,8.99,1.52,0.0
20050427:0510,16.19,31.91,9.65,9.24,1.31,0.0
20050427:0610,85.27,140.66,20.76,11.65,0.69,0.0
20050427:0710,278.23,360.32,31.87,15.15,0.9,0.0
20050427:0810,465.77,588.17,42.56,16.76,0.69,0.0
20050427:0910,619.09,797.84,52.15,18.01,0.9,0.0
20050427:1010,734.03,957.53,59.31,18.9,1.66,0.0
20050427:1110,800.27,1050.5,61.94,19.44,2.21,0.0
20050427:1210,826.97,1084.24,58.85,19.7,2.62,0.0
20050427:1310,799.26,1029.46,51.42,19.57,3.31,0.0
20050427:1410,700.01,885.71,41.7,19.07,3.31,0.0
20050427:1510,535.67,669.41,30.95,18.42,2.97,0.0
20050427:1610,324.05,418.13,19.83,17.69,2.48,0.0
20050427:1710,95.36,162.41,8.74,16.8,1.72,0.0
20050427:1810,0.0,0.0,0.0,15.81,0.97,0.0
20050427:1910,0.0,0.0,0.0,14.54,1.03,0.0
20050427:2010,0.0,0.0,0.0,13.5,1.1,0.0
20050427:2110,0.0,0.0,0.0,12.95,1.17,0.0
20050427:2210,0.0,0.0,0.0,12.21,1.31,0.0
20050427:2310,0.0,0.0,0.0,11.38,1.45,0.0
20050428:0010,0.0,0.0,0.0,10.39,1.66,0.0
20050428:0110,0.0,0.0,0.0,9.75,1.66,0.0
20050428:0210,0.0,0.0,0.0,9.41,1.52,0.0
20050428:0310,0.0,0.0,0.0,9.59,1.24,0.0
20050428:0410,0.0,0.0,0.0,10.0,1.03,0.0
20050428:0510,18.1,34.5,9.89,9.33,1.24,0.0
20050428:0610,88.47,142.58,20.99,11.61,0.9,0.0
20050428:0710,272.51,353.85,32.11,15.71,0.69,0.0
20050428:0810,457.39,577.74,42.81,17.66,0.97,0.0
20050428:0910,616.91,794.06,52.43,19.05,1.24,0.0
20050428:1010,725.32,947.49,59.61,20.12,1.86,0.0
20050428:1110,800.4,1050.41,62.26,20.75,2.62,0.0
20050428:1210,806.59,1052.83,59.13,20.95,3.1,0.0
20050428:1310,757.85,975.58,51.64,20.82,3.45,0.0
20050428:1410,695.15,884.11,41.89,20.47,3.45,0.0
20050428:1510,533.36,669.08,31.13,19.91,3.38,0.0
20050428:1610,316.61,410.24,20.0,19.11,2.97,0.0
20050428:1710,91.85,155.14,8.92,18.11,2.14,0.0
20050428:1810,0.0,0.0,0.0,16.89,1.86,0.0
20050428:1910,0.0,0.0,0.0,15.37,1.86,0.0
20050428:2010,0.0,0.0,0.0,14.14,1.59,0.0
20050428:2110,0.0,0.0,0.0,13.44,1.45,0.0
20050428:2210,0.0,0.0,0.0,12.77,1.52,0.0
20050428:2310,0.0,0.0,0.0,12.02,1.66,0.0
20050429:0010,0.0,0.0,0.0,11.58,1.59,0.0
20050429:0110,0.0,0.0,0.0,11.23,1.45,0.0
20050429:0210,0.0,0.0,0.0,10.8,1.45,0.0
20050429:0310,0.0,0.0,0.0,10.4,1.38,0.0
20050429:0410,0.0,0.0,0.0,9.99,1.38,0.0
20050429:0510,18.02,34.5,10.12,10.15,1.24,0.0
20050429:0610,86.76,142.4,21.22,13.02,0.83,0.0
20050429:0710,272.76,357.01,32.34,16.51,0.34,0.0
20050429:0810,452.04,580.18,43.06,18.55,0.14,0.0
20050429:0910,602.68,785.14,52.7,20.06,0.76,0.0
20050429:1010,715.29,947.97,59.92,21.11,1.31,0.0
20050429:1110,775.34,1033.27,62.57,21.76,1.86,0.0
20050429:1210,792.08,1053.69,59.4,22.05,2.21,0.0
20050429:1310,735.75,964.45,51.87,21.87,2.34,0.0
20050429:1410,625.45,806.65,42.09,21.18,2.0,0.0
20050429:1510,86.05,122.3,31.3,20.97,1.93,0.0
20050429:1610,155.78,207.75,20.17,20.47,1.93,0.0
20050429:1710,91.5,158.15,9.09,19.48,1.45,0.0
20050429:1810,0.0,0.0,-1.61,18.05,1.24,0.0
20050429:1910,0.0,0.0,0.0,17.05,1.03,0.0
20050429:2010,0.0,0.0,0.0,15.96,0.83,0.0
20050429:2110,0.0,0.0,0.0,16.16,0.41,0.0
20050429:2210,0.0,0.0,0.0,15.85,0.41,0.0
20050429:2310,0.0,0.0,0.0,15.22,0.97,0.0
20050430:0010,0.0,0.0,0.0,13.75,1.31,0.0
20050430:0110,0.0,0.0,0.0,12.77,1.59,0.0
20050430:0210,0.0,0.0,0.0,11.78,1.72,0.0
20050430:0310,0.0,0.0,0.0,11.29,1.79,0.0
20050430:0410,0.0,0.0,0.0,11.03,1.86,0.0
20050430:0510,18.55,35.36,10.35,11.36,1.72,0.0
20050430:0610,88.26,143.69,21.45,14.34,1.52,0.0
20050430:0710,268.55,351.13,32.57,17.62,0.97,0.0
20050430:0810,454.07,582.6,43.3,19.74,0.55,0.0
20050430:0910,598.35,780.53,52.97,20.91,0.9,0.0
20050430:1010,711.21,940.37,60.22,21.6,1.52,0.0
20050430:1110,780.72,1042.6,62.88,21.92,1.86,0.0
20050430:1210,806.94,1068.26,59.67,21.89,2.55,0.0
20050430:1310,757.36,979.64,52.09,21.34,3.24,0.0
20050430:1410,665.35,846.43,42.28,20.63,3.17,0.0
20050430:1510,517.31,653.71,31.48,20.41,2.69,0.0
20050430:1610,291.74,381.09,20.35,19.87,2.0,0.0
20050430:1710,88.02,147.32,9.27,19.07,1.1,0.0
20050430:1810,0.0,0.0,-1.42,17.97,1.03,0.0
20050430:1910,0.0,0.0,0.0,16.72,1.1,0.0
20050430:2010,0.0,0.0,0.0,15.79,0.9,0.0
20050430:2110,0.0,0.0,0.0,15.83,0.83,0.0
20050430:2210,0.0,0.0,0.0,15.28,0.97,0.0
20050430:2310,0.0,0.0,0.0,15.24,0.97,0.0
20050501:0010,0.0,0.0,0.0,15.1,0.9,0.0
20050501:0110,0.0,0.0,0.0,14.7,0.97,0.0
20050501:0210,0.0,0.0,0.0,13.5,1.1,0.0
20050501:0310,0.0,0.0,0.0,12.35,1.31,0.0
20050501:0410,0.0,0.0,0.0,11.67,1.52,0.0
20050501:0510,21.1,38.81,10.57,11.63,1.45,0.0
20050501:0610,90.91,145.95,21.66,14.68,0.83,0.0
20050501:0710,265.02,345.79,32.79,17.51,0.97,0.0
20050501:0810,447.8,566.45,43.54,18.98,1.31,0.0
20050501:0910,597.23,763.84,53.23,20.04,1.79,0.0
20050501:1010,714.2,925.09,60.51,20.72,2.41,0.0
20050501:1110,769.89,999.87,63.18,20.99,3.03,0.0
20050501:1210,780.98,1012.25,59.93,20.81,3.24,0.0
20050501:1310,735.47,948.45,52.31,20.61,2.97,0.0
20050501:1410,645.28,825.51,42.46,20.34,2.41,0.0
20050501:1510,503.68,639.28,31.65,20.1,2.0,0.0
20050501:1610,203.7,267.02,20.51,19.68,1.72,0.0
20050501:1710,92.07,157.42,9.45,18.85,1.38,0.0
20050501:1810,0.0,0.0,-1.23,17.91,1.17,0.0
20050501:1910,0.0,0.0,0.0,16.78,1.31,0.0
20050501:2010,0.0,0.0,0.0,15.64,1.03,0.0
20050501:2110,0.0,0.0,0.0,15.31,0.97,0.0
20050501:2210,0.0,0.0,0.0,15.3,0.9,0.0
20050501:2310,0.0,0.0,0.0,15.18,0.9,0.0
20050502:0010,0.0,0.0,0.0,14.41,1.03,0.0
20050502:0110,0.0,0.0,0.0,12.97,1.38,0.0
20050502:0210,0.0,0.0,0.0,11.73,1.59,0.0
20050502:0310,0.0,0.0,0.0,11.22,1.59,0.0
20050502:0410,0.0,0.0,0.0,11.0,1.59,0.0
20050502:0510,21.78,39.68,10.79,11.41,1.31,0.0
20050502:0610,89.63,147.3,21.88,13.75,0.97,0.0
20050502:0710,268.13,351.88,33.0,17.48,0.21,0.0
20050502:0810,457.32,583.43,43.77,19.31,0.83,0.0
20050502:0910,611.02,782.57,53.48,20.55,2.0,0.0
20050502:1010,727.73,946.28,60.8,21.43,2.55,0.0
20050502:1110,777.84,1023.82,63.48,22.19,2.69,0.0
20050502:1210,780.78,1030.85,60.2,22.75,2.76,0.0
20050502:1310,743.45,972.88,52.52,23.05,2.97,0.0
20050502:1410,648.79,835.57,42.65,22.95,3.03,0.0
20050502:1510,500.3,635.99,31.82,22.38,3.03,0.0
20050502:1610,219.84,288.52,20.68,21.38,2.69,0.0
20050502:1710,91.35,155.31,9.62,20.17,2.14,0.0
20050502:1810,0.0,0.0,-1.05,18.9,0.0,0.0
20050502:1910,0.0,0.0,0.0,17.36,0.0,0.0
20050502:2010,0.0,0.0,0.0,16.46,1.03,0.0
20050502:2110,0.0,0.0,0.0,16.53,0.83,0.0
20050502:2210,0.0,0.0,0.0,16.34,0.55,0.0
20050502:2310,0.0,0.0,0.0,16.03,0.9,0.0
20050503:0010,0.0,0.0,0.0,15.02,1.17,0.0
20050503:0110,0.0,0.0,0.0,14.35,1.24,0.0
20050503:0210,0.0,0.0,0.0,13.26,1.38,0.0
20050503:0310,0.0,0.0,0.0,12.36,1.52,0.0
20050503:0410,0.0,0.0,0.0,12.19,1.45,0.0
20050503:0510,22.94,41.4,11.01,12.65,1.24,0.0
20050503:0610,94.69,150.41,22.09,14.62,0.48,0.0
20050503:0710,271.83,358.46,33.22,17.94,0.07,0.0
20050503:0810,451.61,579.48,43.99,19.51,0.48,0.0
20050503:0910,588.31,766.21,53.73,20.72,0.9,0.0
20050503:1010,645.42,842.43,61.09,21.48,1.72,0.0
20050503:1110,643.64,829.74,63.78,21.84,2.9,0.0
20050503:1210,772.5,1011.7,60.45,21.67,2.83,0.0
20050503:1310,691.39,904.72,52.74,21.7,2.07,0.0
20050503:1410,599.09,776.63,42.83,21.83,1.72,0.0
20050503:1510,406.64,518.63,31.99,21.65,1.79,0.0
20050503:1610,127.48,173.0,20.85,20.95,2.14,0.0
20050503:1710,54.8,85.95,9.79,19.74,1.79,0.0
20050503:1810,0.0,0.0,-0.86,18.43,1.79,0.0
20050503:1910,0.0,0.0,0.0,17.65,1.59,0.0
20050503:2010,0.0,0.0,0.0,16.69,1.93,0.0
20050503:2110,0.0,0.0,0.0,15.65,1.86,0.0
20050503:2210,0.0,0.0,0.0,14.96,1.59,0.0
20050503:2310,0.0,0.0,0.0,14.48,1.93,0.0
20050504:0010,0.0,0.0,0.0,14.21,1.79,0.0
20050504:0110,0.0,0.0,0.0,13.93,2.14,0.0
20050504:0210,0.0,0.0,0.0,13.88,2.55,0.0
20050504:0310,0.0,0.0,0.0,13.86,2.55,0.0
20050504:0410,0.0,0.0,0.0,13.84,2.55,0.0
20050504:0510,24.1,43.13,11.22,14.08,2.69,0.0
20050504:0610,98.07,138.5,22.29,16.26,2.83,0.0
20050504:0710,0.0,0.0,0.0,17.87,2.97,0.0
20050504:0810,441.45,548.89,44.21,19.39,3.66,0.0
20050504:0910,612.64,765.74,53.98,20.4,4.21,0.0
20050504:1010,711.77,898.27,61.37,20.72,4.62,0.0
